Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care
2005.0,Alameda,106010735.0,ALAMEDA HOSPITAL,General Acute Care,Intensive Care,2920.0,170.0,1369.0,326
2005.0,Alameda,106010739.0,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,General Acute Care,Intensive Care,5840.0,486.0,6923.0,1394
2005.0,Alameda,106010776.0,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,General Acute Care,Intensive Care,8395.0,731.0,6372.0,1583
2005.0,Alameda,106010805.0,EDEN MEDICAL CENTER,General Acute Care,Intensive Care,5119.0,372.0,3775.0,637
2005.0,Alameda,106010846.0,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,General Acute Care,Intensive Care,7300.0,257.0,5218.0,1150
2005.0,Alameda,106010856.0,KAISER FND HOSP - OAKLAND CAMPUS,General Acute Care,Intensive Care,5840.0,195.0,5635.0,985
2005.0,Alameda,106010858.0,KAISER FND HOSP - HAYWARD,General Acute Care,Intensive Care,5840.0,303.0,5136.0,1169
2005.0,Alameda,106010869.0,LAUREL GROVE HOSPITAL,General Acute Care,Intensive Care,1825.0,0.0,0.0,0
2005.0,Alameda,106010887.0,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,General Acute Care,Intensive Care,3650.0,32.0,830.0,127
2005.0,Alameda,106010937.0,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,General Acute Care,Intensive Care,8760.0,299.0,7560.0,1824
2005.0,Alameda,106010967.0,ST. ROSE HOSPITAL,General Acute Care,Intensive Care,3285.0,217.0,3135.0,1115
2005.0,Alameda,106010983.0,VALLEY MEMORIAL HOSPITAL - LIVERMORE,General Acute Care,Intensive Care,1095.0,0.0,0.0,0
2005.0,Alameda,106010987.0,WASHINGTON HOSPITAL - FREMONT,General Acute Care,Intensive Care,4380.0,302.0,3777.0,1325
2005.0,Alameda,106013619.0,SAN LEANDRO HOSPITAL,General Acute Care,Intensive Care,1825.0,185.0,2340.0,0
2005.0,Alameda,106014050.0,VALLEYCARE MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,82.0,638.0,329
2005.0,Alameda,106014132.0,KAISER FND HOSP - FREMONT,General Acute Care,Intensive Care,3650.0,189.0,2715.0,806
2005.0,Butte,106040828.0,ENLOE MEDICAL CENTER - COHASSET CAMPUS,General Acute Care,Intensive Care,3285.0,0.0,0.0,0
2005.0,Amador,106034002.0,SUTTER AMADOR HOSPITAL,General Acute Care,Intensive Care,2190.0,298.0,1290.0,0
2005.0,Butte,106040802.0,BIGGS GRIDLEY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,730.0,145.0,928.0,126
2005.0,Butte,106040875.0,FEATHER RIVER HOSPITAL,General Acute Care,Intensive Care,4380.0,249.0,2621.0,500
2005.0,Butte,106040937.0,OROVILLE HOSPITAL,General Acute Care,Intensive Care,3650.0,323.0,3074.0,1020
