Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care,Beds Available
2005.0,Alameda,106010735.0,ALAMEDA HOSPITAL,General Acute Care,Intensive Care,2920.0,170.0,1369.0,326,2047.0
2005.0,Alameda,106010739.0,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,General Acute Care,Intensive Care,5840.0,486.0,6923.0,1394,796.0
2005.0,Alameda,106010776.0,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,General Acute Care,Intensive Care,8395.0,731.0,6372.0,1583,4337.0
2005.0,Alameda,106010805.0,EDEN MEDICAL CENTER,General Acute Care,Intensive Care,5119.0,372.0,3775.0,637,2353.0
2005.0,Alameda,106010846.0,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,General Acute Care,Intensive Care,7300.0,257.0,5218.0,1150,3488.0
2005.0,Alameda,106010856.0,KAISER FND HOSP - OAKLAND CAMPUS,General Acute Care,Intensive Care,5840.0,195.0,5635.0,985,1384.0
2005.0,Alameda,106010858.0,KAISER FND HOSP - HAYWARD,General Acute Care,Intensive Care,5840.0,303.0,5136.0,1169,2175.0
2005.0,Alameda,106010869.0,LAUREL GROVE HOSPITAL,General Acute Care,Intensive Care,1825.0,0.0,0.0,0,1825.0
2005.0,Alameda,106010887.0,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,General Acute Care,Intensive Care,3650.0,32.0,830.0,127,2979.0
2005.0,Alameda,106010937.0,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,General Acute Care,Intensive Care,8760.0,299.0,7560.0,1824,3322.0
2005.0,Alameda,106010967.0,ST. ROSE HOSPITAL,General Acute Care,Intensive Care,3285.0,217.0,3135.0,1115,1482.0
2005.0,Alameda,106010983.0,VALLEY MEMORIAL HOSPITAL - LIVERMORE,General Acute Care,Intensive Care,1095.0,0.0,0.0,0,1095.0
2005.0,Alameda,106010987.0,WASHINGTON HOSPITAL - FREMONT,General Acute Care,Intensive Care,4380.0,302.0,3777.0,1325,2230.0
2005.0,Alameda,106013619.0,SAN LEANDRO HOSPITAL,General Acute Care,Intensive Care,1825.0,185.0,2340.0,0,-329.0
2005.0,Alameda,106014050.0,VALLEYCARE MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,82.0,638.0,329,4518.0
2005.0,Alameda,106014132.0,KAISER FND HOSP - FREMONT,General Acute Care,Intensive Care,3650.0,189.0,2715.0,806,1930.0
2005.0,Butte,106040828.0,ENLOE MEDICAL CENTER - COHASSET CAMPUS,General Acute Care,Intensive Care,3285.0,0.0,0.0,0,3285.0
2005.0,Amador,106034002.0,SUTTER AMADOR HOSPITAL,General Acute Care,Intensive Care,2190.0,298.0,1290.0,0,1198.0
2005.0,Butte,106040802.0,BIGGS GRIDLEY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,730.0,145.0,928.0,126,72.0
2005.0,Butte,106040875.0,FEATHER RIVER HOSPITAL,General Acute Care,Intensive Care,4380.0,249.0,2621.0,500,2508.0
2005.0,Butte,106040937.0,OROVILLE HOSPITAL,General Acute Care,Intensive Care,3650.0,323.0,3074.0,1020,1919.0
2005.0,Butte,106040962.0,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,General Acute Care,Intensive Care,6570.0,163.0,4919.0,1215,3028.0
2005.0,Calaveras,106050932.0,MARK TWAIN ST. JOSEPHS HOSPITAL,General Acute Care,Intensive Care,2920.0,165.0,921.0,0,2164.0
2005.0,Colusa,106060870.0,COLUSA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,39.0,192.0,65,2102.0
2005.0,Contra Costa,106070904.0,DOCTORS MEDICAL CENTER - SAN PABLO CAMPUS,General Acute Care,Intensive Care,13870.0,435.0,5006.0,552,9851.0
2005.0,Contra Costa,106070924.0,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,157.0,1634.0,258,1701.0
2005.0,Contra Costa,106070934.0,SUTTER DELTA MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,271.0,2562.0,535,2624.0
2005.0,Contra Costa,106070988.0,JOHN MUIR MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,314.0,8095.0,1439,2417.0
2005.0,Contra Costa,106070990.0,KAISER FND HOSP - WALNUT CREEK,General Acute Care,Intensive Care,8760.0,1420.0,10430.0,1750,1500.0
2005.0,Contra Costa,106071018.0,MT. DIABLO  MEDICAL CENTER,General Acute Care,Intensive Care,5475.0,208.0,4162.0,1393,2913.0
2005.0,Contra Costa,106074017.0,SAN RAMON REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,317.0,2407.0,531,631.0
2005.0,Contra Costa,106074093.0,KAISER FNDN HOSP - RICHMOND CAMPUS,General Acute Care,Intensive Care,1460.0,152.0,1057.0,347,902.0
2005.0,Del Norte,106084001.0,SUTTER COAST HOSPITAL,General Acute Care,Intensive Care,2190.0,540.0,2212.0,0,518.0
2005.0,El Dorado,106090793.0,BARTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,3285.0,194.0,1646.0,0,1833.0
2005.0,El Dorado,106090933.0,MARSHALL  MEDICAL CENTER (1-RH),General Acute Care,Intensive Care,2920.0,248.0,2020.0,525,1673.0
2005.0,Fresno,106100005.0,COMMUNITY MEDICAL CENTER - CLOVIS,General Acute Care,Intensive Care,2555.0,121.0,1604.0,0,1071.0
2005.0,Fresno,106100717.0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,General Acute Care,Intensive Care,25900.0,449.0,4093.0,0,22256.0
2005.0,Fresno,106100822.0,UNIVERSITY MEDICAL CENTER,General Acute Care,Intensive Care,9490.0,283.0,7937.0,0,1835.0
2005.0,Fresno,106100899.0,ST. AGNES MEDICAL CENTER,General Acute Care,Intensive Care,11495.0,258.0,5849.0,893,6796.0
2005.0,Fresno,106104062.0,KAISER FND HOSP - FRESNO,General Acute Care,Intensive Care,4380.0,206.0,2617.0,688,2656.0
2005.0,Humboldt,106120981.0,"GENERAL HOSPITAL, THE",General Acute Care,Intensive Care,2920.0,0.0,0.0,0,2920.0
2005.0,Humboldt,106121002.0,MAD RIVER COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,170.0,1088.0,260,1532.0
2005.0,Humboldt,106121051.0,REDWOOD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,156.0,658.0,188,1146.0
2005.0,Humboldt,106121080.0,ST. JOSEPH HOSPITAL - EUREKA,General Acute Care,Intensive Care,1460.0,57.0,1021.0,286,782.0
2005.0,Imperial,106130699.0,EL CENTRO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,7300.0,234.0,3342.0,799,4991.0
2005.0,Imperial,106130760.0,PIONEERS MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2920.0,155.0,1821.0,427,1681.0
2005.0,Inyo,106141273.0,NORTHERN INYO HOSPITAL,General Acute Care,Intensive Care,2190.0,82.0,333.0,116,2055.0
2005.0,Kern,106150706.0,DELANO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,114.0,1955.0,218,2026.0
2005.0,Kern,106150722.0,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,General Acute Care,Intensive Care,2920.0,197.0,5404.0,1039,-1248.0
2005.0,Kern,106150736.0,KERN MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,133.0,2680.0,489,2321.0
2005.0,Kern,106150737.0,KERN VALLEY HEALTHCARE DISTRICT,General Acute Care,Intensive Care,1095.0,8.0,49.0,17,1071.0
2005.0,Kern,106150761.0,MERCY HOSPITAL - BAKERSFIELD,General Acute Care,Intensive Care,4015.0,159.0,3743.0,585,1015.0
2005.0,Kern,106150775.0,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,General Acute Care,Intensive Care,1460.0,89.0,410.0,0,1139.0
2005.0,Kern,106150782.0,RIDGECREST REGIONAL HOSPITAL,General Acute Care,Intensive Care,2920.0,51.0,1050.0,237,2158.0
2005.0,Kern,106150788.0,SAN JOAQUIN COMMUNITY HOSPITAL,General Acute Care,Intensive Care,7665.0,194.0,5164.0,1332,4026.0
2005.0,Kern,106154108.0,MERCY SOUTHWEST HOSPITAL,General Acute Care,Intensive Care,2784.0,138.0,1860.0,306,1368.0
2005.0,Kings,106160725.0,HANFORD COMMUNITY MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,232.0,2835.0,0,1046.0
2005.0,Lake,106171049.0,REDBUD COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,259.0,371.0,0,1348.0
2005.0,Lake,106171395.0,SUTTER LAKESIDE HOSPITAL,General Acute Care,Intensive Care,2190.0,178.0,1065.0,0,1303.0
2005.0,Los Angeles,106190017.0,ALHAMBRA HOSPITAL,General Acute Care,Intensive Care,2190.0,110.0,1502.0,415,1212.0
2005.0,Los Angeles,106190034.0,ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,7665.0,234.0,6646.0,1633,2885.0
2005.0,Los Angeles,106190049.0,VISTA SPECIALTY HOSPITAL OF SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2920.0,72.0,2339.0,0,652.0
2005.0,Los Angeles,106190053.0,ST. MARY MEDICAL CENTER,General Acute Care,Intensive Care,14235.0,598.0,6122.0,984,9695.0
2005.0,Los Angeles,106190066.0,BELLFLOWER MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,255.0,1688.0,0,391.0
2005.0,Los Angeles,106190081.0,BEVERLY HOSPITAL,General Acute Care,Intensive Care,4380.0,264.0,3448.0,0,1195.0
2005.0,Los Angeles,106190125.0,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,General Acute Care,Intensive Care,7300.0,503.0,5427.0,751,3127.0
2005.0,Los Angeles,106190159.0,TRI-CITY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,127.0,1833.0,472,3511.0
2005.0,Los Angeles,106190170.0,CHILDRENS HOSPITAL OF LOS ANGELES,General Acute Care,Intensive Care,16790.0,446.0,13862.0,1586,4959.0
2005.0,Los Angeles,106190176.0,HELFORD CLINICAL RESEARCH HOSP AT CITY OF HOPE,General Acute Care,Intensive Care,5298.0,690.0,4007.0,0,1981.0
2005.0,Los Angeles,106190198.0,LOS ANGELES COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,106.0,1497.0,0,799.0
2005.0,Los Angeles,106190200.0,SAN GABRIEL VALLEY MEDICAL CENTER,General Acute Care,Intensive Care,6935.0,295.0,4569.0,1444,4105.0
2005.0,Los Angeles,106190230.0,CENTINELA FREEMAN REG MED CTR-MEMORIAL CAMPUS,General Acute Care,Intensive Care,4745.0,217.0,3794.0,253,1420.0
2005.0,Los Angeles,106190240.0,LAKEWOOD REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,267.0,2542.0,1013,1658.0
2005.0,Los Angeles,106190243.0,DOWNEY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,244.0,2429.0,580,1314.0
2005.0,Los Angeles,106190256.0,EAST LOS ANGELES DOCTORS HOSPITAL,General Acute Care,Intensive Care,1460.0,86.0,1312.0,92,325.0
2005.0,Los Angeles,106190280.0,ENCINO-TARZANA REGIONAL MED CTR-ENCINO,General Acute Care,Intensive Care,1825.0,94.0,847.0,0,1071.0
2005.0,Los Angeles,106190298.0,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,General Acute Care,Intensive Care,3285.0,488.0,2758.0,571,1586.0
2005.0,Los Angeles,106190307.0,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",General Acute Care,Intensive Care,3285.0,97.0,1988.0,165,1558.0
2005.0,Los Angeles,106190315.0,GARFIELD MEDICAL CENTER,General Acute Care,Intensive Care,5110.0,209.0,3343.0,530,2505.0
2005.0,Los Angeles,106190323.0,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,General Acute Care,Intensive Care,3650.0,121.0,3156.0,815,1429.0
2005.0,Los Angeles,106190328.0,EAST VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,297.0,1550.0,270,842.0
2005.0,Los Angeles,106190380.0,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,General Acute Care,Intensive Care,1825.0,108.0,1769.0,0,163.0
2005.0,Los Angeles,106190382.0,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,General Acute Care,Intensive Care,10220.0,358.0,5748.0,675,5504.0
2005.0,Los Angeles,106190385.0,PROVIDENCE HOLY CROSS MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,324.0,5394.0,0,-690.0
2005.0,Los Angeles,106190392.0,GOOD SAMARITAN HOSPITAL-LOS ANGELES,General Acute Care,Intensive Care,21170.0,388.0,8931.0,2124,14751.0
2005.0,Los Angeles,106190400.0,HUNTINGTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,14600.0,573.0,3334.0,1164,13003.0
